"No","Event ID","Date time","Latitude","Longitude","Magnitude","Mag Type","Depth (km)","Phase Count","Azimuth Gap","Location","Agency"
"1","bmg2024inoy","2024-05-01T06:35:52.433043Z","-1.710595965385437","120.09176635742188","2.8370468858772444","M","10","23","76.85966491699219","Sulawesi, Indonesia","BMKG"
"2","bmg2024injv","2024-05-01T04:00:52.007557Z","-5.94466781616211","130.6476287841797","4.846795669538945","MLv","133","48","78.90179443359375","Banda Sea","BMKG"
"3","bmg2024injs","2024-05-01T03:57:30.664236Z","-6.438559055328369","107.30770111083984","2.836672970220185","M","10","25","80.936185836792","Java, Indonesia","BMKG"
"4","bmg2024inia","2024-05-01T03:06:11.494109Z","-7.134665012359619","107.55836486816406","4.1710436006638085","M","10","69","83.40336608886719","Java, Indonesia","BMKG"
"5","bmg2024ingp","2024-05-01T02:23:37.672776Z","-7.266338348388672","129.5655517578125","4.551027847946509","M","166","68","55.58760070800781","Banda Sea","BMKG"
"6","bmg2024imxz","2024-04-30T22:01:41.265916Z","-8.107583045959473","107.9129638671875","3.499656860772534","M","36","77","206.79969787597656","Java, Indonesia","BMKG"
"7","bmg2024imuc","2024-04-30T20:03:48.454154Z","5.739072799682617","126.73123168945312","4.382431155994323","M","105","47","174.99505615234375","Mindanao, Philippines","BMKG"
"8","bmg2024imtq","2024-04-30T19:50:49.482635Z","-2.0811336040496826","127.98351287841797","3.266828561353126","M","49","24","95.44686889648438","Ceram Sea","BMKG"
"9","bmg2024imtn","2024-04-30T19:46:51.615743Z","-0.3751688599586487","123.8227310180664","3.2518625834951265","M","43","40","65.94171142578125","Minahassa Peninsula, Sulawesi","BMKG"
"10","bmg2024imtg","2024-04-30T19:38:50.561682Z","0.2517569065093994","122.45488739013672","2.2315227922723686","M","169","25","73.423095703125","Minahassa Peninsula, Sulawesi","BMKG"
"11","bmg2024imhg","2024-04-30T13:34:37.739835Z","2.526763916015625","99.00005340576172","3.03734541715834","M","152","47","174.07955932617188","Northern Sumatra, Indonesia","BMKG"
"12","bmg2024imfj","2024-04-30T12:37:34.937487Z","-3.3958024978637695","133.85491943359375","3.554856854583381","M","13","28","116.84688568115234","West Papua Region, Indonesia","BMKG"
"13","bmg2024imfd","2024-04-30T12:30:20.094656Z","2.4632503986358643","128.27230834960938","3.3012472153302364","M","178","22","221.36236572265625","Halmahera, Indonesia","BMKG"
"14","bmg2024imdy","2024-04-30T11:54:36.191316Z","-8.634196281433105","118.37367248535156","4.169298539153673","M","118","102","89.32014465332031","Sumbawa Region, Indonesia","BMKG"
"15","bmg2024imbj","2024-04-30T10:35:58.223348Z","-0.5005813241004944","121.95577239990234","2.6648978887299264","M","10","30","87.31345748901367","Minahassa Peninsula, Sulawesi","BMKG"
"16","bmg2024imav","2024-04-30T10:20:30.555347Z","-0.36635440587997437","124.01316833496094","2.9847263825798915","M","30","19","172.32386779785156","Southern Molucca Sea","BMKG"
"17","bmg2024ilxc","2024-04-30T08:27:18.205098Z","-3.959254503250122","120.02545928955078","2.820461234365592","M","5","42","71.39053344726562","Sulawesi, Indonesia","BMKG"
"18","bmg2024illh","2024-04-30T02:29:40.347361Z","0.31562823057174683","121.94602966308594","2.3499325576945944","M","167","18","68.6983642578125","Minahassa Peninsula, Sulawesi","BMKG"
"19","bmg2024ilkk","2024-04-30T02:01:49.029963Z","0.28365832567214966","121.9620132446289","3.042694942241511","M","94","37","53.47454833984375","Minahassa Peninsula, Sulawesi","BMKG"
"20","bmg2024ildf","2024-04-29T22:24:17.042449Z","5.193095207214355","126.20743560791016","4.619441846524555","M","24","55","148.35755920410156","Mindanao, Philippines","BMKG"
